系列,遭遇组,编号,卡牌名称,英文名称,类型,探险编号,图片链接,卡牌数量,探险进度,交战值,威胁值,攻击力,防御值,探险点数,生命值,意志值,特性,胜利,准备卡牌,放置一旁,关键字,费用
逃离多古尔都,逃离多古尔都,55,地牢狱卒,Dungeon Jailor,敌人,,51223bd0-ffd1-11df-a976-0801200c9101,2,,38,1,2,3,,5,,多古尔都|奥克,,,,,
逃离多古尔都,逃离多古尔都,56,多古尔都那兹古尔,Nazgûl of Dol Guldur,敌人,,51223bd0-ffd1-11df-a976-0801200c9102,1,,40,5,4,3,,9,,那兹古尔,,,,,
逃离多古尔都,逃离多古尔都,57,洞穴守卫,Cavern Guardian,敌人,,51223bd0-ffd1-11df-a976-0801200c9103,2,,8,2,2,1,,2,,亡灵,,,,,
逃离多古尔都,逃离多古尔都,58,魔影笼罩,Under the Shadow,诡计,,51223bd0-ffd1-11df-a976-0801200c9104,2,,,,,,,,,,,,,,
逃离多古尔都,逃离多古尔都,59,铁镣铐,Iron Shackles,诡计,,51223bd0-ffd1-11df-a976-0801200c9105,1,,,,,,,,,,,,,,
逃离多古尔都,逃离多古尔都,60,无尽的洞穴,Endless Caverns,地区,,51223bd0-ffd1-11df-a976-0801200c9106,2,,,1,,,3,,,地牢,,,,,
逃离多古尔都,逃离多古尔都,61,塔楼大门,Tower Gate,地区,,51223bd0-ffd1-11df-a976-0801200c9107,2,,,2,,,1,,,地牢,,,,,
逃离多古尔都,逃离多古尔都,62,甘道夫的地图,Gandalf's Map,目标,,51223bd0-ffd1-11df-a976-0801200c9108,1,,,,,,,,,物品,,,,,
逃离多古尔都,逃离多古尔都,63,地牢火炬,Dungeon Torch,目标,,51223bd0-ffd1-11df-a976-0801200c9109,1,,,,,,,,,物品,,,,,
逃离多古尔都,逃离多古尔都,64,魔影钥匙,Shadow Key,目标,,51223bd0-ffd1-11df-a976-0801200c9110,1,,,,,,,,,物品,,,,,
贝磊勾斯特的废墟,,65,第一纪元的废墟,Ruins of the First Age,探险,1a,f8a95ed4-415f-41a2-90db-ce8de7071883.jpg,1,0,,,,,,,,,,废墟中潜行|@每位玩家废弃的矿坑,纳乌尔路赫|纳乌尔路赫的巢穴|贝磊勾斯特之剑|深水潜伏者,,
贝磊勾斯特的废墟,,66,第一纪元的废墟,Ruins of the First Age,探险,1b,f8a95ed4-415f-41a2-90db-ce8de7071883.B.jpg,1,6,,,,,,,,,,,,,
贝磊勾斯特的废墟,,67,被打扰的远古邪恶,Ancient Evils Disturbed,探险,2a,8f449385-efbb-4f99-b0c6-984e7b522674.jpg,1,0,,,,,,,,,,,,,
贝磊勾斯特的废墟,,68,被打扰的远古邪恶,Ancient Evils Disturbed,探险,2b,8f449385-efbb-4f99-b0c6-984e7b522674.B.jpg,1,9,,,,,,,,,,,,,
贝磊勾斯特的废墟,,69,深入旧城,Deeper into the Past (C),探险,2c,4f03a84f-6665-435f-aa3a-5002c835d13b.jpg,1,0,,,,,,,,,,,,,
贝磊勾斯特的废墟,,70,深入旧城,Deeper into the Past (C),探险,2d,4f03a84f-6665-435f-aa3a-5002c835d13b.B.jpg,1,9,,,,,,,,,,,,,
贝磊勾斯特的废墟,,71,魔苟斯的仆从,The Servants of Morgoth,探险,3a,70494c1c-405f-481a-b330-12643c80587e.jpg,1,0,,,,,,,,,,,,,
贝磊勾斯特的废墟,,72,魔苟斯的仆从,The Servants of Morgoth,探险,3b,70494c1c-405f-481a-b330-12643c80587e.B.jpg,1,6,,,,,,,,,,,,,
贝磊勾斯特的废墟,,73,伊瑞德隆山脚,The Roots of Ered Luin (C),探险,3c,6d6d2d0f-7672-4f92-bb07-6a764f655306.jpg,1,0,,,,,,,,,,,,,
贝磊勾斯特的废墟,,74,伊瑞德隆山脚,The Roots of Ered Luin (C),探险,3d,6d6d2d0f-7672-4f92-bb07-6a764f655306.B.jpg,1,6,,,,,,,,,,,,,
贝磊勾斯特的废墟,,75,贝磊勾斯特矿洞,The Mines of Belegost (E),探险,3e,0eb36ad6-db76-4e69-b77c-77ff7da8661d.jpg,1,0,,,,,,,,,,,,,
贝磊勾斯特的废墟,,76,贝磊勾斯特矿洞,The Mines of Belegost (E),探险,3f,0eb36ad6-db76-4e69-b77c-77ff7da8661d.B.jpg,1,6,,,,,,,,,,,,,
贝磊勾斯特的废墟,,77,贝磊勾斯特的野兽,The Beast of Belegost,探险,4a,f5a08708-ed75-45a0-91a1-59e10eeebfc9.jpg,1,0,,,,,,,,,,,,,
贝磊勾斯特的废墟,,78,贝磊勾斯特的野兽,The Beast of Belegost,探险,4b,f5a08708-ed75-45a0-91a1-59e10eeebfc9.B.jpg,1,0,,,,,,,,,,,,,
贝磊勾斯特的废墟,贝磊勾斯特的废墟,79,废墟中潜行,Stalking the Ruins,目标,,536cee93-e3d5-42fd-8182-0a939fd19f46.jpg,1,,,,,,,,,,,,,,
贝磊勾斯特的废墟,贝磊勾斯特的废墟,80,贝磊勾斯特之剑,Sword of Belegost,目标,,7bae4f1a-42b7-46ab-bfbb-0078ed0842a4.jpg,1,,,,,,,,,宝物.物品.武器,,,,,
贝磊勾斯特的废墟,贝磊勾斯特的废墟,81,伊瑞德隆地图,Map of Ered Luin,目标,,fd1ed69d-287a-49bc-973c-93216ab4d674.jpg,1,,,,,,,,,宝物.物品,,,,,
贝磊勾斯特的废墟,贝磊勾斯特的废墟,82,贝磊勾斯特的钥匙,Keys of Belegost,目标,,adeb3985-c342-4d9e-acd6-2c7cf35dafe6.jpg,1,,,,,,,,,宝物.物品,,,,,
贝磊勾斯特的废墟,贝磊勾斯特的废墟,83,奥力子民之书,Book of Aulë's Children,目标,,3c1bea1f-80b7-4857-9d0b-489376d4abab.jpg,1,,,,,,,,,宝物.物品,,,,,
贝磊勾斯特的废墟,贝磊勾斯特的废墟,84,矮人火炬,Dwarven Torch,目标,,8e15ba46-125f-44fc-b67b-6006b96b20ea.jpg,1,,,,,,,,,宝物.物品,,,,,
贝磊勾斯特的废墟,贝磊勾斯特的废墟,85,蓝山宝石,Blue Mountain Gem,目标,,54665391-02fa-4402-b7ea-2f8b5aa95a57.jpg,1,,,,,,,,,宝物.物品,,,,,
贝磊勾斯特的废墟,贝磊勾斯特的废墟,86,纳乌尔路赫,Naurlhûg,敌人,,9d65d755-9d41-47d8-84f5-ea725fba1d2f.jpg,1,,20,x,7,5,,20,,龙,7,,,,
贝磊勾斯特的废墟,贝磊勾斯特的废墟,87,深水潜伏者,Lurker of the Depths,敌人,,415e5671-e9fa-458e-bc46-e9f869bee87f.jpg,1,,50,4,5,2,,12,,生物,5,,,,
贝磊勾斯特的废墟,贝磊勾斯特的废墟,88,无名的洞穴居住者,Nameless Cave Dweller,敌人,,f3efc356-9e7d-40e3-a8ff-0ad47d8b9d67.jpg,4,,35,x,x,x,,5,,无名者.险阻,,,,,
贝磊勾斯特的废墟,贝磊勾斯特的废墟,89,古老的石巨魔,Old Stone Troll,敌人,,6e42b5b8-c708-4f2e-a483-4984db0d1084.jpg,2,,50,3,6,3,,8,,巨魔.险阻,,,,,
贝磊勾斯特的废墟,贝磊勾斯特的废墟,90,伊瑞德隆的半兽人,Orc of Ered Luin,敌人,,4c9ac5bd-1653-400c-9cd0-4da685da5c15.jpg,3,,30,2,4,2,,4,,半兽人,,,,,
贝磊勾斯特的废墟,贝磊勾斯特的废墟,91,蓝山地精,Blue Mountain Goblin,敌人,,796c0aee-2aea-4999-931d-253fafe7fb26.jpg,3,,25,1,3,2,,3,,半兽人.地精,,,,,
贝磊勾斯特的废墟,贝磊勾斯特的废墟,92,纳乌尔路赫的巢穴,Naurlhûg's Lair,地区,,10dc0c5d-a434-4d77-a06f-5ed0c1d4ac46.jpg,1,,,4,,,6,,,地底,4,,,,
贝磊勾斯特的废墟,贝磊勾斯特的废墟,93,废弃的矿坑,Abandoned Mine,地区,,51a1050d-f8d5-48aa-8f96-ef96e1e836da.jpg,4,,,2,,,3,,,地底,,,,,
贝磊勾斯特的废墟,贝磊勾斯特的废墟,94,淹没的大厅,Flooded Hall,地区,,687ca930-b64c-4a5c-b6a3-bc3b12d8641d.jpg,2,,,4,,,4,,,地底,,,,,
贝磊勾斯特的废墟,贝磊勾斯特的废墟,95,黑暗的通道,Darkened Tunnel,地区,,3d948840-8118-4d63-b782-ba017e1cf5d5.jpg,2,,,3,,,3,,,地底,,,,,
贝磊勾斯特的废墟,贝磊勾斯特的废墟,96,沉没的宝库,Sunken Treasury,地区,,4d67feae-9070-4ed6-8b1a-3ddc3569e73a.jpg,3,,,1,,,4,,,地底,,,,,
贝磊勾斯特的废墟,贝磊勾斯特的废墟,97,密室,Secret Chamber,地区,,52248807-32d1-422b-b4b2-01097405e49f.jpg,3,,,3,,,2,,,地底.险阻,,,,,
贝磊勾斯特的废墟,贝磊勾斯特的废墟,98,黑暗中的回声,Echoes in the Dark,诡计,,cf6114ac-f795-4085-b135-4cca76fb8608.jpg,3,,,,,,,,,,,,,,
贝磊勾斯特的废墟,贝磊勾斯特的废墟,99,安戈洛坠姆的末裔,Spawn of Thangorodrim,诡计,,a9502ae6-2df9-419a-b562-43550926cd73.jpg,2,,,,,,,,,,,,,,
贝磊勾斯特的废墟,贝磊勾斯特的废墟,100,暗钉,Concealed Spikes,诡计,,3d7adc18-c9cb-4e93-8b1e-1574747ba8ce.jpg,2,,,,,,,,,险阻,,,,,
贝磊勾斯特的废墟,贝磊勾斯特的废墟,101,掩盖的矿坑,Covered Pit,诡计,,fba9d635-eeba-4cc1-b9fb-d6666a3a1cdf.jpg,2,,,,,,,,,险阻,,,,,
横渡贝烈盖尔海,,102,从海港启程,Departure from the Havens,探险,1a,007721bf-3e80-4857-aaf4-aabb65d1827d.jpg,1,0,,,,,,,,,,巨浪滔天|侦察船,,,
横渡贝烈盖尔海,,103,从海港启程,Departure from the Havens,探险,1b,007721bf-3e80-4857-aaf4-aabb65d1827d.B.jpg,1,8,,,,,,,,,3,,,航行,
横渡贝烈盖尔海,,104,深入风暴,Into the Storm,探险,2a,25940aea-cc56-43bf-a8d6-f9d349b0c01f.jpg,1,0,,,,,,,,,,,,,
横渡贝烈盖尔海,,105,深入风暴,Into the Storm,探险,2b,25940aea-cc56-43bf-a8d6-f9d349b0c01f.B.jpg,1,2,,,,,,,,,3,,,航行,
横渡贝烈盖尔海,,106,被诅咒的迷雾,Cursed Mists,探险,2a,aede410a-9d4c-4abd-9f55-143f5027f9c4.jpg,1,0,,,,,,,,,,,,,
横渡贝烈盖尔海,,107,被诅咒的迷雾,Cursed Mists,探险,2b,aede410a-9d4c-4abd-9f55-143f5027f9c4.B.jpg,1,6,,,,,,,,,3,,,航行,
横渡贝烈盖尔海,,108,星辰的指引,Calphon's Divination,探险,2a,b77620fa-89a8-4f09-8552-ba4204e472d2.jpg,1,0,,,,,,,,,,,,,
横渡贝烈盖尔海,,109,星辰的指引,Calphon's Divination,探险,2b,b77620fa-89a8-4f09-8552-ba4204e472d2.B.jpg,1,4,,,,,,,,,3,,,航行,
横渡贝烈盖尔海,,110,卡冯的预言,The Star's Guidance,探险,2a,e1001736-68fc-4e7b-a7df-23230876eb92.jpg,1,0,,,,,,,,,,,,,
横渡贝烈盖尔海,,111,卡冯的预言,The Star's Guidance,探险,2b,e1001736-68fc-4e7b-a7df-23230876eb92.B.jpg,1,4,,,,,,,,,3,,,航行,
横渡贝烈盖尔海,,112,海盗追击,Corsair Pursuit,探险,3a,abeec7e9-ccf6-4145-ae1a-d7179c5a4b4d.jpg,1,0,,,,,,,,,,,,,
横渡贝烈盖尔海,,113,海盗追击,Corsair Pursuit,探险,3b,abeec7e9-ccf6-4145-ae1a-d7179c5a4b4d.B.jpg,1,10,,,,,,,,,,,,航行,
横渡贝烈盖尔海,横渡贝烈盖尔海,114,侦察船,Scouting Ship,敌人,,16361c0e-f422-44d4-8f25-bc32b7a9aadd.jpg,3,,35,2,5,2,,7,,海盗|船,,,,登船1,
横渡贝烈盖尔海,横渡贝烈盖尔海,115,星辰大海,Starlit Sea,地区,,b640a0b7-f23e-4859-96fb-b558274b90a8.jpg,2,,,3,,,2,,,海洋,,,,航行1,
横渡贝烈盖尔海,横渡贝烈盖尔海,116,雾角,Fog Bank,地区,,edfe479c-dc2b-43d0-9d4b-708e96320748.jpg,2,,,2,,,5,,,海洋,,,,,
努曼诺尔的命运,,117,探索岛屿,Explore the Island,探险,1a,05bf91b3-8e8e-4a45-a6cf-ac8b936b032d.jpg,1,0,,,,,,,,,,,,,
努曼诺尔的命运,,118,探索岛屿,Explore the Island,探险,1b,05bf91b3-8e8e-4a45-a6cf-ac8b936b032d.B.jpg,1,20,,,,,,,,,,,,,
努曼诺尔的命运,,119,重大发现,A Fateful Discovery,探险,1a,97584fc2-835e-411c-aae3-eb841c90fc43.jpg,1,0,,,,,,,,,,,,,
努曼诺尔的命运,,120,重大发现,A Fateful Discovery,探险,1b,97584fc2-835e-411c-aae3-eb841c90fc43.B.jpg,1,0,,,,,,,,,,,,,
努曼诺尔的命运,努曼诺尔的命运,121,魔苟斯祭坛,Shrine to Morgoth,地区,,26642db7-c3a2-47f3-989d-27396e586d06.B.jpg,1,,,5,,,8,,,废墟,,,,未知,
努曼诺尔的命运,努曼诺尔的命运,122,失落的岛屿,Lost Island,地区,,26642db7-c3a2-47f3-989d-27396e586d06.jpg,-,,,2,,,-,,,,,,,,
努曼诺尔的命运,努曼诺尔的命运,123,卡冯,Calphon,目标|盟友,,24a816f2-172f-4945-8d9b-21eb7fb68263.jpg,1,,,,0,1,,3,1,刚铎|贵族,,,,,
努曼诺尔的命运,努曼诺尔的命运,124,欺诈者的仆从,Servant of the Deceiver,敌人,,7a2f15bc-d05d-4891-9558-02396affc32b.jpg,3,,35,3,3,4,,3,,亡灵,,,,,
努曼诺尔的命运,努曼诺尔的命运,125,茂密的丛林,Lush Jungle,地区,,c7bb88f6-a6b7-44f3-8bc2-8c4be788e7da.B.jpg,2,,,4,,,,4,,森林,,,,未知,
努曼诺尔的命运,努曼诺尔的命运,126,禁闭海岸,Forbidden Coast,地区,,b1f8c611-99a3-4bab-9805-832853d52d4d.B.jpg,2,,,1,,,,6,,海岸,,,,未知,
努曼诺尔的命运,努曼诺尔的命运,127,险峻的高原,Steep Plateau,地区,,8830070b-b918-4b74-8dfb-dced3866e53b.jpg,3,,,1,,,,3,,海岸,,,,,
努曼诺尔的命运,努曼诺尔的命运,128,神秘的雾气,Mysterious Fog,诡计,,b0a1f83b-f1b0-4945-afc8-91a1c25063e2.jpg,2,,,,,,,,,,,,,,
努曼诺尔的命运,努曼诺尔的命运,129,挥之不去的恶意,Lingering Malevolence,诡计,,b03a007c-42bc-433c-bd0e-efbf65a8696d.jpg,2,,,,,,,,,,,,,,
努曼诺尔的命运,努曼诺尔的命运,130,古代废墟,Ruins of Ages Past,诡计,,92fec8c5-53e7-477a-9c47-8d97578bc1e7.jpg,2,,,,,,,,,,,,,,
突袭灰港岸,,131,海盗的强袭,The Corsairs' Assault,探险,1a,fab58a26-eaa6-4e6b-aa59-575bab8a2599.jpg,1,0,,,,,,,,,,,,,
突袭灰港岸,,132,海盗的强袭,The Corsairs' Assault,探险,1b,fab58a26-eaa6-4e6b-aa59-575bab8a2599.B.jpg,1,18,,,,,,,,,,,,,
突袭灰港岸,,133,萨伊尔的推进,Sahír's Advance,探险,2a,7c5f503a-61aa-4f12-acdf-e52fc51e295f.jpg,1,0,,,,,,,,,,,,,
突袭灰港岸,,134,萨伊尔的推进,Sahír's Advance,探险,2b,7c5f503a-61aa-4f12-acdf-e52fc51e295f.B.jpg,1,0,,,,,,,,,,,,,
突袭灰港岸,突袭灰港岸,135,海港在燃烧,The Havens Burn,目标,,6302e603-fade-43b3-a6b3-235af412fdfa.jpg,1,,,,,,,,,,,,,,
突袭灰港岸,突袭灰港岸,136,逐梦者号,Dream-chaser,地区,,c792fec6-5840-4aba-8dcd-36b1632d58fa.jpg,1,,,2,,,,,,灰港岸,,,,燃烧12,
突袭灰港岸,突袭灰港岸,137,海盗纵火者,Corsair Arsonist,敌人,,cedfcb4c-9f28-46c6-b6ec-7986be79f7b1.jpg,3,,28,2,2,1,,3,,海盗,,,,,
突袭灰港岸,突袭灰港岸,138,萨伊尔的破坏者,Sahír's Ravager,敌人,,4893d105-fada-4bee-a4bb-d26463b97b63.jpg,3,,36,3,4,3,,5,,海盗|掠夺者,,,,,
突袭灰港岸,突袭灰港岸,139,米斯龙德港,Mithlond Harbor,地区,,766735f8-3b17-4b50-aee3-a869837f986c.jpg,2,,,1,,,2,,,灰港岸,,,,,
突袭灰港岸,突袭灰港岸,140,燃烧的码头,Burning Piers,地区,,c69c1fe9-076a-4a5b-8388-9f653015d84d.jpg,2,,,1,,,3,,,灰港岸,,,,燃烧5,
突袭灰港岸,突袭灰港岸,141,被掠夺的船,Pillaged Ship,地区,,a961751d-414b-4a53-9da4-5708f8b7bb1f.jpg,2,,,2,,,4,,,灰港岸|船,,,,燃烧5,
突袭灰港岸,突袭灰港岸,142,白船,White Ship,地区,,7fa34ed7-6c3d-41a2-9c03-d8a766a35ece.jpg,2,,,4,,,6,,,灰港岸|船,,,,燃烧4,
突袭灰港岸,突袭灰港岸,143,精灵御风者,Elven Wave-runner,地区,,af53407e-c51f-4b41-bd25-312f681149e1.jpg,2,,,3,,,3,,,灰港岸|船,3,,,燃烧3,
突袭灰港岸,突袭灰港岸,144,精灵快船,Elven Caravel,地区,,25eb1da3-b559-4e47-ae20-e6096a8cbc96.jpg,2,,,3,,,5,,,灰港岸|船,,,,燃烧4,
突袭灰港岸,突袭灰港岸,145,付之一炬,Put to the Torch,诡计,,91143aee-41e7-4cac-8ec2-e112689fcc17.jpg,2,,,,,,,,,,,,,,
突袭灰港岸,突袭灰港岸,146,大火蔓延,The Fires Spread,诡计,,76a512ea-3a6a-4c99-8c29-d980dea802ff.jpg,2,,,,,,,,,,,,,,
浩瀚海洋,浩瀚海洋,147,平静的海面,Calm Waters,地区,,1e5d3385-4362-4e76-91fc-30e5aebab5e2.jpg,2,,,1,,,4,,,海洋,,,,航行2,
浩瀚海洋,浩瀚海洋,148,巨浪滔天,Rolling Seas,地区,,ec2f100d-22c8-4cc6-82d9-fb4f07446b0f.jpg,3,,,4,,,3,,,海洋,,,,航行1,
浩瀚海洋,浩瀚海洋,149,偏离正轨,Thrown Off Course,诡计,,4f4df8ea-7f18-4a76-85b0-7ece828bb837.jpg,2,,,,,,,,,,,,,航行1,
风暴天气,风暴天气,150,汹涌的海面,Rough Waters,地区,,2b3973f5-e6f6-4611-87b7-b6e3dc33eb66.jpg,2,,,2,,,3,,,海洋,,,,,
